name,place_id,rating,types,vicinity,price_level,user_ratings_total,geometry.location.lat,geometry.location.lng,opening_hours.open_now,icon
Restaurante La Tagliatella,ChIJafkOwn8oQg0RnAnywYfeqKc,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","C. de Atocha, 16, Madrid",2.0,1138,40.4139869,-3.7037719,True,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
"Restaurante Italiano ""Il Piccolino Della Farfalla""",ChIJAyl8N4AoQg0ReRdyzJU08jo,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","Calle de las Huertas, 6, Madrid",1.0,993,40.4140114,-3.7009911,True,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Restaurante Vegetariano Artemisa Sol - Huertas,ChIJq4-kc4EoQg0R7eDDJ8AH-R0,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","Calle de Ventura de la Vega, 4, Madrid",2.0,1150,40.4160178,-3.6989251,False,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Taberna La Concha,ChIJvdlhrngoQg0RFmx7kraNRUg,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Calle de la Cava Baja, 7, Madrid",2.0,1351,40.4131907,-3.7083581,True,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png
Restaurante Italiano Emma y Julia,ChIJm-bNHdYnQg0RgSAiXTGLJak,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","Calle de la Cava Baja, 19, Madrid",2.0,1254,40.41252,-3.708932,False,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Restaurante Vegetariano Artemisa Sol - Gran Vía,ChIJC4OxX4coQg0R3bqGh0fouew,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","Calle de las Tres Cruces, 4, Madrid",2.0,1332,40.4192584,-3.7028659,False,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
"LaLina Bravas, Tapas y Copas",ChIJwUqxbNYnQg0R6Bi3n8wsytA,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Plaza de la Cebada, 2, Madrid",2.0,791,40.4114544,-3.7089143,True,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png
Restaurante Ático,ChIJz271F4QoQg0RB0PVzUicAqw,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Calle del Marqués de Valdeiglesias, 1, Madrid",3.0,644,40.4193576,-3.6971889,False,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Da Nicola Gran Vía,ChIJeTj6uWQoQg0RxTrKSleUhy0,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","Plaza de los Mostenses, 11, LOCAL, Madrid",2.0,2823,40.4230288,-3.708687,True,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Okashi Sanda,ChIJ4-PMfWIoQg0RifHmlV7q74g,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Calle de San Vicente Ferrer, 22, Madrid",2.0,1276,40.42575009999999,-3.7032679,False,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Tagomago,ChIJ4zMPvPopQg0RdCzbFE7NPeU,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","Calle de Salustiano Olózaga, 12, Madrid",1.0,494,40.4204702,-3.690389,False,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Grosso Napoletano Senza Glutine,ChIJD3UlxxIpQg0RfXk1rMrq8cs,4.6,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Calle de Fernando VI, 23, Local Izquierdo, Madrid",2.0,292,40.424795,-3.6955787,True,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Superchulo Madrid,ChIJR2rz-2EoQg0RJQlNH4n9wro,4.2,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","C. de Manuela Malasaña, 11, Madrid",2.0,3748,40.4285343,-3.7032607,False,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Restaurante Amazonico,ChIJazaQ3JkoQg0RHZE5D9yhKM4,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","C. Jorge Juan, 20, Madrid",4.0,5326,40.4237431,-3.6851287,True,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Fellina Restaurante,ChIJ3Ug5oY0oQg0RvHmZLJ2BbyA,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","Calle de Caracas, 21, Madrid",2.0,1741,40.430761,-3.6942249,True,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
Méntrida,ChIJRU6UxoooQg0RLVFkKuI4Z2s,4.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Plaza de Olavide, 3, Madrid",1.0,515,40.4324076,-3.701479399999999,False,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png
